i_consigneeName,i_consigneeTel,i_consigneeAddr,i_pId,i_pName,i_amount,i_orderDate,i_sId,i_tId
홍영희,010-6666-7777,울산시 울주군 삼남면,34,진공청소기,1,2019-05-13 16:58,30003,50003
전우치,010-2222-3333,평택시 신평동,27,라임,4,2019-03-01 04:00,30003,50001
전우치,010-2222-3333,평택시 신평동,28,오렌지,2,2019-03-02 09:01,30003,50001
홍영희,010-6666-7777,울산시 울주군 삼남면,23,코코넛,1,2019-03-03 12:25,30003,50003
홍지수,010-7777-8888,목포시 삼학동,12,애견 패드,3,2019-03-05 11:25,30002,50004
김철수,010-4444-5555,대전시 서구 월평동,3,대단한 스트레칭,1,2019-03-10 09:25,30001,50002
김철수,010-4444-5555,대전시 서구 월평동,4,숨은 신발 찾기,1,2019-03-10 09:25,30001,50002
허균,010-3333-4444,천안시 중앙동,15,앰플,4,2019-03-18 14:59,30002,50002
허균,010-3333-4444,천안시 중앙동,16,크림,2,2019-03-18 14:59,30002,50002
김지영,010-8888-9999,여수시 삼산면,19,마스크,13,2019-02-02 18:25,30003,50004
김수현,010-9999-1111,순천시 매곡동,29,전기밥솥,1,2019-02-09 09:34,30002,50004
박수현,010-1212-1212,대전시 유성구 궁동,9,캔,5,2019-02-13 23:39,30002,50002
박수현,010-1212-1212,대전시 유성구 궁동,8,가방,1,2019-02-13 23:39,30002,50002
이수현,010-1313-1313,대전시 유성구 어은동,22,아보카도,1,2019-01-11 22:52,30002,50002
이수현,010-1313-1313,대전시 유성구 어은동,24,용과,1,2019-01-11 22:52,30002,50002
김지영,010-8888-9999,여수시 삼산면,32,마사지기구,1,2019-01-21 00:02,30001,50004
홍길동,010-1111-2222,수원시 장안구 정자1동,20,선크림,1,2018-12-08 15:31,30003,50001
박철수,010-5555-6666,부산시 중구 대청동,31,헤어드라이기,1,2018-12-21 23:25,30002,50003
